         10x5M-LH                 (10x5M-LH.dat)
         v2022-0915
         Simulation Date: 06/12/2024

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS: (Underwater)
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Vtip (tip speed, fps)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =        100

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.1022      0.0522       0.000       0.216       0.266       0.256       0.024       1.181     471.334        4.36      16229.    0.4990
        0.00      0.0224      0.0428      0.1004      0.0524       0.000       0.217       0.261       0.257       0.025       1.161     461.135        4.36      16240.    0.4840
        0.00      0.0447      0.0837      0.0985      0.0526       0.000       0.218       0.256       0.258       0.025       1.139     450.794        4.36      16252.    0.4686
        0.06      0.0671      0.1227      0.0965      0.0528       0.000       0.218       0.251       0.258       0.025       1.115     440.331        4.36      16265.    0.4530
        0.08      0.0895      0.1596      0.0943      0.0529       0.000       0.219       0.245       0.259       0.025       1.091     429.751        4.37      16278.    0.4372
        0.11      0.1119      0.1946      0.0920      0.0529       0.000       0.219       0.239       0.259       0.025       1.064     419.054        4.37      16293.    0.4211
        0.13      0.1342      0.2275      0.0896      0.0529       0.000       0.219       0.233       0.259       0.025       1.036     408.239        4.37      16308.    0.4048
        0.15      0.1566      0.2583      0.0870      0.0528       0.000       0.218       0.226       0.258       0.025       1.006     397.298        4.37      16324.    0.3882
        0.17      0.1790      0.2869      0.0843      0.0526       0.000       0.217       0.219       0.257       0.025       0.974     386.221        4.37      16342.    0.3714
        0.19      0.2013      0.3134      0.0813      0.0523       0.000       0.216       0.211       0.256       0.024       0.940     374.992        4.37      16360.    0.3543
        0.21      0.2237      0.3377      0.0783      0.0518       0.000       0.214       0.203       0.254       0.024       0.905     363.592        4.37      16379.    0.3369
        0.23      0.2461      0.3596      0.0750      0.0513       0.000       0.212       0.195       0.251       0.024       0.867     351.998        4.38      16399.    0.3194
        0.25      0.2684      0.3791      0.0717      0.0507       0.000       0.210       0.186       0.248       0.024       0.828     340.178        4.38      16421.    0.3016
        0.28      0.2908      0.3961      0.0681      0.0500       0.000       0.207       0.177       0.245       0.023       0.788     328.093        4.38      16443.    0.2837
        0.30      0.3132      0.4105      0.0645      0.0492       0.000       0.204       0.168       0.241       0.023       0.746     315.696        4.38      16466.    0.2656
        0.32      0.3356      0.4220      0.0608      0.0483       0.000       0.200       0.158       0.236       0.023       0.703     302.934        4.39      16491.    0.2474
        0.34      0.3579      0.4305      0.0569      0.0473       0.000       0.196       0.148       0.232       0.022       0.658     289.740        4.39      16516.    0.2289
        0.36      0.3803      0.4358      0.0529      0.0462       0.000       0.191       0.138       0.226       0.022       0.612     276.038        4.40      16543.    0.2104
        0.38      0.4027      0.4375      0.0489      0.0450       0.000       0.186       0.127       0.220       0.021       0.565     261.736        4.40      16571.    0.1917
        0.40      0.4250      0.4353      0.0447      0.0437       0.000       0.181       0.116       0.214       0.020       0.517     246.718        4.40      16600.    0.1728
        0.42      0.4474      0.4288      0.0405      0.0422       0.000       0.175       0.105       0.207       0.020       0.468     230.851        4.41      16630.    0.1539
        0.44      0.4698      0.4173      0.0362      0.0407       0.000       0.168       0.094       0.199       0.019       0.418     213.963        4.41      16661.    0.1348
        0.47      0.4921      0.4001      0.0318      0.0391       0.000       0.162       0.083       0.191       0.018       0.367     195.850        4.42      16693.    0.1156
        0.49      0.5145      0.3765      0.0273      0.0373       0.000       0.154       0.071       0.183       0.017       0.316     176.254        4.42      16726.    0.0965
        0.51      0.5369      0.3451      0.0228      0.0355       0.000       0.147       0.059       0.174       0.017       0.264     154.850        4.43      16761.    0.0775
        0.53      0.5593      0.3047      0.0183      0.0336       0.000       0.139       0.048       0.164       0.016       0.211     131.230        4.43      16797.    0.0588
        0.55      0.5816      0.2532      0.0137      0.0315       0.000       0.130       0.036       0.154       0.015       0.159     104.862        4.44      16833.    0.0407
        0.57      0.6040      0.1881      0.0092      0.0294       0.000       0.122       0.024       0.144       0.014       0.106      75.034        4.44      16871.    0.0238
        0.59      0.6264      0.1059      0.0046      0.0272       0.000       0.112       0.012       0.133       0.013       0.053      40.736        4.45      16910.    0.0091
        0.61      0.6487      0.0010      0.0000      0.0249       0.000       0.103       0.000       0.122       0.012       0.000       0.380        4.46      16950.    0.0000



         PROP RPM =        200

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.1027      0.0448       0.002       0.741       1.068       1.754       0.084       4.748     276.048        8.73      32458.    0.5860
        0.00      0.0226      0.0506      0.1009      0.0451       0.002       0.746       1.049       1.766       0.084       4.666     269.498        8.73      32480.    0.5671
        0.09      0.0452      0.0987      0.0990      0.0453       0.002       0.750       1.029       1.776       0.085       4.578     262.919        8.73      32504.    0.5480
        0.13      0.0678      0.1443      0.0970      0.0456       0.002       0.754       1.008       1.784       0.085       4.485     256.328        8.73      32530.    0.5288
        0.17      0.0904      0.1875      0.0948      0.0457       0.002       0.757       0.986       1.790       0.085       4.385     249.732        8.73      32558.    0.5094
        0.21      0.1130      0.2282      0.0925      0.0458       0.002       0.758       0.962       1.794       0.086       4.278     243.135        8.73      32587.    0.4899
        0.26      0.1356      0.2664      0.0901      0.0459       0.002       0.759       0.936       1.795       0.086       4.165     236.539        8.73      32618.    0.4703
        0.30      0.1582      0.3021      0.0874      0.0458       0.002       0.758       0.909       1.793       0.086       4.044     229.945        8.74      32651.    0.4505
        0.34      0.1809      0.3354      0.0847      0.0457       0.002       0.755       0.880       1.788       0.085       3.915     223.351        8.74      32686.    0.4305
        0.39      0.2035      0.3662      0.0817      0.0454       0.002       0.751       0.850       1.778       0.085       3.779     216.749        8.74      32723.    0.4105
        0.43      0.2261      0.3944      0.0786      0.0450       0.002       0.745       0.817       1.764       0.084       3.635     210.135        8.75      32763.    0.3903
        0.47      0.2487      0.4202      0.0753      0.0446       0.002       0.738       0.783       1.746       0.083       3.484     203.495        8.75      32804.    0.3700
        0.51      0.2713      0.4433      0.0719      0.0440       0.002       0.728       0.748       1.723       0.082       3.326     196.813        8.76      32847.    0.3496
        0.56      0.2939      0.4638      0.0684      0.0433       0.002       0.717       0.711       1.696       0.081       3.162     190.067        8.76      32892.    0.3292
        0.60      0.3165      0.4815      0.0647      0.0425       0.002       0.704       0.673       1.665       0.079       2.992     183.230        8.77      32940.    0.3087
        0.64      0.3391      0.4963      0.0609      0.0416       0.002       0.689       0.633       1.629       0.078       2.816     176.270        8.78      32990.    0.2882
        0.69      0.3617      0.5080      0.0570      0.0406       0.002       0.672       0.593       1.589       0.076       2.636     169.150        8.78      33042.    0.2675
        0.73      0.3843      0.5164      0.0530      0.0394       0.002       0.653       0.551       1.545       0.074       2.451     161.821        8.79      33096.    0.2468
        0.77      0.4069      0.5211      0.0489      0.0382       0.002       0.632       0.508       1.495       0.071       2.261     154.225        8.80      33152.    0.2259
        0.81      0.4295      0.5217      0.0447      0.0368       0.002       0.609       0.465       1.441       0.069       2.068     146.291        8.81      33211.    0.2049
        0.86      0.4521      0.5178      0.0404      0.0353       0.002       0.584       0.420       1.383       0.066       1.870     137.927        8.82      33272.    0.1837
        0.90      0.4747      0.5085      0.0361      0.0337       0.002       0.558       0.375       1.319       0.063       1.669     129.016        8.83      33336.    0.1624
        0.94      0.4973      0.4931      0.0317      0.0320       0.002       0.529       0.329       1.251       0.060       1.465     119.407        8.84      33401.    0.1408
        0.98      0.5199      0.4701      0.0272      0.0301       0.002       0.498       0.283       1.178       0.056       1.258     108.901        8.85      33469.    0.1190
        1.03      0.5426      0.4380      0.0227      0.0281       0.001       0.465       0.236       1.101       0.053       1.050      97.230        8.86      33540.    0.0970
        1.07      0.5652      0.3943      0.0182      0.0260       0.001       0.431       0.189       1.019       0.049       0.840      84.025        8.87      33612.    0.0750
        1.11      0.5878      0.3355      0.0136      0.0238       0.001       0.394       0.141       0.933       0.045       0.629      68.757        8.88      33687.    0.0531
        1.16      0.6104      0.2566      0.0090      0.0215       0.001       0.356       0.094       0.842       0.040       0.418      50.636        8.89      33765.    0.0319
        1.20      0.6330      0.1492      0.0045      0.0191       0.001       0.316       0.047       0.748       0.036       0.208      28.392        8.90      33844.    0.0126
        1.24      0.6556     -0.0017      0.0000      0.0166       0.001       0.275       0.000       0.650       0.031      -0.002      -0.313        8.91      33923.    0.0000



         PROP RPM =        300

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.1029      0.0417       0.007       1.552       2.407       5.510       0.175      10.706     198.151       13.09      48687.    0.6316
        0.06      0.0227      0.0546      0.1011      0.0420       0.007       1.564       2.365       5.552       0.177      10.521     193.230       13.09      48721.    0.6106
        0.13      0.0454      0.1065      0.0992      0.0423       0.007       1.575       2.321       5.590       0.178      10.323     188.311       13.09      48757.    0.5894
        0.19      0.0681      0.1556      0.0972      0.0425       0.008       1.584       2.273       5.622       0.179      10.112     183.407       13.09      48796.    0.5681
        0.26      0.0908      0.2019      0.0950      0.0427       0.008       1.591       2.223       5.647       0.180       9.887     178.525       13.10      48837.    0.5468
        0.32      0.1135      0.2455      0.0927      0.0429       0.008       1.596       2.169       5.664       0.180       9.647     173.668       13.10      48881.    0.5255
        0.39      0.1362      0.2864      0.0902      0.0429       0.008       1.598       2.111       5.672       0.181       9.391     168.839       13.10      48928.    0.5040
        0.45      0.1589      0.3246      0.0876      0.0429       0.008       1.597       2.050       5.668       0.180       9.118     164.040       13.11      48978.    0.4825
        0.52      0.1816      0.3602      0.0848      0.0428       0.008       1.592       1.985       5.652       0.180       8.828     159.271       13.11      49031.    0.4610
        0.58      0.2043      0.3932      0.0819      0.0425       0.008       1.584       1.915       5.622       0.179       8.519     154.528       13.12      49087.    0.4394
        0.64      0.2270      0.4235      0.0787      0.0422       0.007       1.571       1.842       5.577       0.178       8.194     149.808       13.12      49146.    0.4177
        0.71      0.2497      0.4513      0.0755      0.0418       0.007       1.555       1.765       5.518       0.176       7.852     145.103       13.13      49209.    0.3961
        0.77      0.2724      0.4763      0.0720      0.0412       0.007       1.534       1.685       5.443       0.173       7.495     140.401       13.14      49274.    0.3744
        0.84      0.2951      0.4987      0.0685      0.0405       0.007       1.508       1.602       5.354       0.170       7.124     135.688       13.15      49343.    0.3528
        0.90      0.3178      0.5183      0.0648      0.0397       0.007       1.479       1.515       5.249       0.167       6.740     130.944       13.16      49414.    0.3312
        0.97      0.3405      0.5350      0.0610      0.0388       0.007       1.445       1.426       5.128       0.163       6.344     126.149       13.17      49490.    0.3095
        1.03      0.3632      0.5486      0.0571      0.0378       0.007       1.406       1.335       4.992       0.159       5.937     121.275       13.18      49568.    0.2879
        1.10      0.3859      0.5589      0.0530      0.0366       0.006       1.363       1.241       4.839       0.154       5.519     116.289       13.19      49650.    0.2661
        1.16      0.4086      0.5656      0.0489      0.0353       0.006       1.316       1.145       4.671       0.149       5.091     111.149       13.20      49735.    0.2443
        1.23      0.4313      0.5684      0.0447      0.0339       0.006       1.264       1.046       4.485       0.143       4.654     105.805       13.21      49824.    0.2224
        1.29      0.4540      0.5665      0.0404      0.0324       0.006       1.207       0.946       4.283       0.136       4.208     100.190       13.23      49916.    0.2002
