         11x13EP                  (11x13EP.dat)                                                                                                                                     
         v2025-0210                                                                                                                                                                 
         Simulation Date: 06/09/2025                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLARS                                                                                                                                 
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (True Air Speed in MPH)                                                                                                                                                 
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1409      0.0979       0.001       0.080       0.066       0.946       0.009       0.292      31.510        0.04      15141.    0.4309  
        0.48      0.0465      0.0658      0.1404      0.0993       0.001       0.081       0.066       0.960       0.009       0.291      30.965        0.04      15161.    0.4228  
        0.97      0.0930      0.1290      0.1400      0.1009       0.001       0.082       0.065       0.975       0.009       0.291      30.370        0.04      15186.    0.4140  
        1.45      0.1396      0.1894      0.1395      0.1028       0.001       0.084       0.065       0.993       0.009       0.290      29.725        0.04      15214.    0.4046  
        1.94      0.1861      0.2467      0.1390      0.1049       0.001       0.086       0.065       1.013       0.010       0.289      29.035        0.04      15246.    0.3945  
        2.42      0.2326      0.3007      0.1385      0.1071       0.001       0.088       0.065       1.035       0.010       0.287      28.307        0.04      15282.    0.3838  
        2.91      0.2791      0.3511      0.1379      0.1096       0.001       0.090       0.064       1.059       0.010       0.286      27.546        0.04      15323.    0.3727  
        3.39      0.3256      0.3979      0.1371      0.1122       0.001       0.092       0.064       1.084       0.010       0.284      26.761        0.04      15368.    0.3610  
        3.88      0.3721      0.4412      0.1361      0.1148       0.001       0.094       0.063       1.109       0.011       0.282      25.961        0.04      15418.    0.3489  
        4.36      0.4187      0.4809      0.1348      0.1174       0.002       0.096       0.063       1.134       0.011       0.280      25.154        0.04      15474.    0.3365  
        4.85      0.4652      0.5172      0.1332      0.1198       0.002       0.098       0.062       1.158       0.011       0.276      24.348        0.04      15534.    0.3238  
        5.33      0.5117      0.5503      0.1312      0.1220       0.002       0.100       0.061       1.179       0.011       0.272      23.550        0.04      15599.    0.3108  
        5.81      0.5582      0.5804      0.1287      0.1238       0.002       0.101       0.060       1.196       0.011       0.267      22.768        0.04      15670.    0.2976  
        6.30      0.6047      0.6077      0.1256      0.1250       0.002       0.102       0.059       1.208       0.012       0.261      22.003        0.04      15746.    0.2841  
        6.78      0.6513      0.6323      0.1219      0.1255       0.002       0.103       0.057       1.213       0.012       0.253      21.261        0.04      15827.    0.2705  
        7.27      0.6978      0.6545      0.1175      0.1253       0.002       0.102       0.055       1.211       0.012       0.244      20.541        0.04      15913.    0.2565  
        7.75      0.7443      0.6744      0.1124      0.1240       0.002       0.101       0.052       1.198       0.011       0.233      19.841        0.04      16004.    0.2423  
        8.24      0.7908      0.6918      0.1064      0.1217       0.002       0.099       0.050       1.176       0.011       0.221      19.157        0.04      16100.    0.2277  
        8.72      0.8373      0.7066      0.0998      0.1182       0.002       0.097       0.047       1.143       0.011       0.207      18.479        0.05      16201.    0.2127  
        9.21      0.8838      0.7182      0.0924      0.1137       0.001       0.093       0.043       1.099       0.010       0.192      17.795        0.05      16306.    0.1971  
        9.69      0.9304      0.7260      0.0844      0.1081       0.001       0.088       0.039       1.045       0.010       0.175      17.088        0.05      16416.    0.1809  
       10.18      0.9769      0.7287      0.0759      0.1017       0.001       0.083       0.035       0.983       0.009       0.157      16.335        0.05      16530.    0.1640  
       10.66      1.0234      0.7249      0.0670      0.0946       0.001       0.077       0.031       0.914       0.009       0.139      15.510        0.05      16648.    0.1463  
       11.14      1.0699      0.7123      0.0578      0.0868       0.001       0.071       0.027       0.839       0.008       0.120      14.579        0.05      16770.    0.1277  
       11.63      1.1164      0.6880      0.0484      0.0785       0.001       0.064       0.023       0.758       0.007       0.100      13.494        0.05      16897.    0.1081  
       12.11      1.1630      0.6470      0.0388      0.0697       0.001       0.057       0.018       0.673       0.006       0.080      12.183        0.05      17027.    0.0874  
       12.60      1.2095      0.5816      0.0291      0.0605       0.001       0.049       0.014       0.584       0.006       0.060      10.530        0.05      17161.    0.0654  
       13.08      1.2560      0.4778      0.0194      0.0510       0.001       0.042       0.009       0.493       0.005       0.040       8.331        0.05      17299.    0.0423  
       13.57      1.3025      0.3087      0.0098      0.0412       0.001       0.034       0.005       0.399       0.004       0.020       5.190        0.05      17441.    0.0187  
       14.05      1.3490      0.0136      0.0003      0.0314       0.000       0.026       0.000       0.303       0.003       0.001       0.221        0.05      17586.    0.0001  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1414      0.0915       0.009       0.299       0.264       7.077       0.034       1.174      16.909        0.09      30281.    0.4633  
        0.98      0.0469      0.0711      0.1410      0.0930       0.010       0.304       0.263       7.189       0.034       1.170      16.598        0.09      30323.    0.4541  
        1.95      0.0938      0.1393      0.1406      0.0947       0.010       0.309       0.262       7.319       0.035       1.167      16.256        0.09      30372.    0.4441  
        2.93      0.1407      0.2042      0.1401      0.0966       0.010       0.316       0.262       7.468       0.036       1.163      15.887        0.09      30429.    0.4334  
        3.91      0.1877      0.2655      0.1397      0.0987       0.010       0.323       0.261       7.634       0.036       1.160      15.492        0.09      30493.    0.4220  
        4.89      0.2346      0.3230      0.1392      0.1011       0.010       0.330       0.260       7.816       0.037       1.156      15.075        0.09      30567.    0.4099  
        5.86      0.2815      0.3764      0.1386      0.1036       0.011       0.339       0.259       8.013       0.038       1.151      14.641        0.09      30650.    0.3972  
        6.84      0.3284      0.4258      0.1378      0.1063       0.011       0.347       0.257       8.219       0.039       1.144      14.195        0.09      30742.    0.3840  
        7.82      0.3753      0.4710      0.1369      0.1090       0.011       0.356       0.255       8.431       0.040       1.136      13.742        0.09      30844.    0.3705  
        8.80      0.4222      0.5124      0.1356      0.1118       0.012       0.365       0.253       8.640       0.041       1.126      13.286        0.09      30956.    0.3565  
        9.77      0.4691      0.5499      0.1340      0.1143       0.012       0.374       0.250       8.839       0.042       1.112      12.834        0.09      31079.    0.3424  
       10.75      0.5161      0.5839      0.1320      0.1166       0.012       0.381       0.246       9.017       0.043       1.096      12.389        0.09      31212.    0.3280  
       11.73      0.5630      0.6147      0.1294      0.1185       0.012       0.387       0.242       9.165       0.044       1.074      11.955        0.09      31355.    0.3134  
