         15x12E                   (15x12E.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 11/02/2023                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1046      0.0502       0.003       0.193       0.169       2.289       0.022       0.751      33.442        0.06      20931.    0.5374  
        0.46      0.0327      0.0663      0.1039      0.0511       0.003       0.197       0.168       2.330       0.022       0.745      32.609        0.06      20950.    0.5221  
        0.93      0.0653      0.1291      0.1030      0.0521       0.003       0.201       0.166       2.374       0.023       0.739      31.754        0.06      20970.    0.5064  
        1.39      0.0980      0.1884      0.1021      0.0531       0.003       0.204       0.165       2.419       0.023       0.733      30.881        0.06      20993.    0.4903  
        1.86      0.1306      0.2440      0.1010      0.0541       0.003       0.208       0.163       2.465       0.024       0.725      29.999        0.06      21019.    0.4738  
        2.32      0.1633      0.2960      0.0998      0.0551       0.003       0.212       0.161       2.510       0.024       0.716      29.112        0.06      21048.    0.4570  
        2.78      0.1959      0.3444      0.0985      0.0560       0.003       0.216       0.159       2.553       0.024       0.707      28.227        0.06      21079.    0.4401  
        3.25      0.2286      0.3893      0.0969      0.0569       0.003       0.219       0.156       2.594       0.025       0.696      27.348        0.06      21114.    0.4230  
        3.71      0.2612      0.4307      0.0952      0.0577       0.004       0.222       0.154       2.630       0.025       0.683      26.480        0.06      21151.    0.4059  
        4.17      0.2939      0.4690      0.0932      0.0584       0.004       0.225       0.150       2.661       0.025       0.669      25.625        0.06      21192.    0.3887  
        4.64      0.3265      0.5040      0.0909      0.0589       0.004       0.227       0.147       2.684       0.026       0.653      24.788        0.06      21237.    0.3714  
        5.10      0.3592      0.5361      0.0884      0.0592       0.004       0.228       0.143       2.699       0.026       0.634      23.969        0.06      21284.    0.3541  
        5.57      0.3918      0.5653      0.0856      0.0593       0.004       0.229       0.138       2.703       0.026       0.614      23.169        0.06      21335.    0.3368  
        6.03      0.4245      0.5918      0.0825      0.0592       0.004       0.228       0.133       2.696       0.026       0.592      22.386        0.06      21390.    0.3194  
        6.49      0.4571      0.6154      0.0790      0.0587       0.004       0.226       0.127       2.674       0.026       0.567      21.619        0.06      21447.    0.3019  
        6.96      0.4898      0.6364      0.0752      0.0579       0.004       0.223       0.121       2.638       0.025       0.540      20.865        0.06      21509.    0.2843  
        7.42      0.5225      0.6545      0.0711      0.0567       0.003       0.219       0.115       2.585       0.025       0.510      20.117        0.06      21573.    0.2665  
        7.89      0.5551      0.6695      0.0666      0.0552       0.003       0.213       0.107       2.516       0.024       0.478      19.369        0.06      21642.    0.2484  
        8.35      0.5878      0.6812      0.0618      0.0533       0.003       0.205       0.100       2.430       0.023       0.444      18.610        0.06      21713.    0.2299  
        8.81      0.6204      0.6888      0.0567      0.0511       0.003       0.197       0.092       2.329       0.022       0.407      17.829        0.06      21788.    0.2110  
        9.28      0.6531      0.6917      0.0514      0.0486       0.003       0.187       0.083       2.213       0.021       0.369      17.009        0.06      21866.    0.1917  
        9.74      0.6857      0.6889      0.0459      0.0457       0.003       0.176       0.074       2.084       0.020       0.330      16.133        0.06      21947.    0.1718  
       10.20      0.7184      0.6789      0.0403      0.0427       0.003       0.164       0.065       1.944       0.019       0.289      15.177        0.06      22031.    0.1514  
       10.67      0.7510      0.6598      0.0346      0.0393       0.002       0.152       0.056       1.793       0.017       0.248      14.109        0.06      22119.    0.1303  
       11.13      0.7837      0.6288      0.0288      0.0358       0.002       0.138       0.046       1.633       0.016       0.206      12.885        0.06      22209.    0.1086  
       11.60      0.8163      0.5816      0.0229      0.0321       0.002       0.124       0.037       1.464       0.014       0.164      11.440        0.06      22303.    0.0860  
       12.06      0.8490      0.5114      0.0170      0.0283       0.002       0.109       0.027       1.289       0.012       0.122       9.674        0.06      22400.    0.0627  
       12.52      0.8816      0.4072      0.0112      0.0243       0.001       0.094       0.018       1.108       0.011       0.081       7.417        0.06      22500.    0.0391  
       12.99      0.9143      0.2488      0.0055      0.0202       0.001       0.078       0.009       0.923       0.009       0.040       4.370        0.06      22603.    0.0161  
       13.45      0.9470     -0.0039     -0.0001      0.0161       0.001       0.062       0.000       0.735       0.007       0.000      -0.066        0.06      22709.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1049      0.0464       0.023       0.714       0.677      16.899       0.081       3.012      18.174        0.12      41863.    0.5850  
        0.93      0.0328      0.0723      0.1042      0.0473       0.023       0.729       0.672      17.250       0.082       2.991      17.681        0.12      41899.    0.5672  
        1.87      0.0657      0.1405      0.1034      0.0483       0.024       0.745       0.667      17.618       0.084       2.968      17.177        0.12      41941.    0.5488  
        2.80      0.0985      0.2044      0.1025      0.0494       0.024       0.761       0.661      17.998       0.086       2.941      16.665        0.12      41987.    0.5301  
        3.73      0.1313      0.2641      0.1014      0.0504       0.025       0.777       0.655      18.383       0.088       2.911      16.150        0.12      42039.    0.5111  
        4.66      0.1641      0.3196      0.1002      0.0515       0.025       0.793       0.647      18.766       0.090       2.877      15.635        0.12      42097.    0.4919  
        5.60      0.1970      0.3710      0.0989      0.0525       0.026       0.809       0.638      19.138       0.091       2.838      15.124        0.12      42160.    0.4726  
