         18x7WP                   (18x7WP.dat)                                                                                                                                      
         v2024-0915                                                                                                                                                                 
         Simulation Date: 11/12/2024                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLARS                                                                                                                                 
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0773      0.0306       0.005       0.293       0.259       3.472       0.033       1.150      33.783        0.07      38475.    0.5600  
        0.32      0.0189      0.0466      0.0757      0.0307       0.005       0.294       0.253       3.482       0.033       1.126      32.978        0.07      38495.    0.5409  
        0.64      0.0378      0.0910      0.0740      0.0308       0.005       0.295       0.247       3.489       0.033       1.101      32.170        0.07      38516.    0.5216  
        0.97      0.0568      0.1330      0.0722      0.0308       0.005       0.295       0.241       3.492       0.033       1.074      31.359        0.07      38538.    0.5023  
        1.29      0.0757      0.1727      0.0703      0.0308       0.005       0.295       0.235       3.492       0.033       1.046      30.547        0.07      38561.    0.4829  
        1.61      0.0946      0.2102      0.0683      0.0308       0.005       0.295       0.229       3.487       0.033       1.017      29.732        0.07      38586.    0.4634  
        1.93      0.1135      0.2453      0.0663      0.0307       0.005       0.294       0.222       3.478       0.033       0.986      28.915        0.07      38612.    0.4438  
        2.26      0.1324      0.2780      0.0641      0.0305       0.005       0.293       0.215       3.464       0.033       0.954      28.096        0.07      38639.    0.4242  
        2.58      0.1513      0.3085      0.0619      0.0304       0.005       0.291       0.207       3.445       0.033       0.921      27.274        0.07      38668.    0.4046  
