         5.3x5.9E                 (53x59E.dat)                                                                                                                                      
         v2025-1001                                                                                                                                                                 
         Simulation Date: 02/24/2026                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLARS                                                                                                                                 
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (True Air Speed in MPH)                                                                                                                                                 
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1371      0.1125       0.000       0.002       0.003       0.028       0.000       0.015      55.397        0.02       3324.    0.3601  
        0.21      0.0409      0.0491      0.1366      0.1137       0.000       0.002       0.003       0.029       0.000       0.015      54.613        0.02       3328.    0.3544  
        0.41      0.0818      0.0968      0.1362      0.1151       0.000       0.002       0.003       0.029       0.000       0.015      53.772        0.02       3332.    0.3484  
        0.62      0.1227      0.1427      0.1358      0.1167       0.000       0.002       0.003       0.029       0.000       0.015      52.874        0.02       3338.    0.3420  
        0.82      0.1636      0.1869      0.1353      0.1185       0.000       0.003       0.003       0.030       0.000       0.015      51.922        0.02       3344.    0.3353  
        1.03      0.2045      0.2291      0.1349      0.1204       0.000       0.003       0.003       0.030       0.000       0.015      50.917        0.02       3350.    0.3283  
        1.23      0.2454      0.2692      0.1344      0.1225       0.000       0.003       0.003       0.031       0.000       0.015      49.865        0.02       3357.    0.3209  
        1.44      0.2863      0.3072      0.1337      0.1246       0.000       0.003       0.003       0.031       0.000       0.015      48.771        0.02       3366.    0.3131  
        1.64      0.3272      0.3430      0.1329      0.1268       0.000       0.003       0.003       0.032       0.000       0.015      47.640        0.02       3375.    0.3049  
        1.85      0.3681      0.3764      0.1320      0.1290       0.000       0.003       0.003       0.032       0.000       0.015      46.479        0.02       3384.    0.2964  
        2.05      0.4090      0.4076      0.1307      0.1312       0.000       0.003       0.003       0.033       0.000       0.015      45.295        0.02       3395.    0.2875  
        2.26      0.4499      0.4365      0.1291      0.1331       0.000       0.003       0.003       0.033       0.000       0.014      44.095        0.02       3406.    0.2782  
        2.46      0.4908      0.4631      0.1272      0.1348       0.000       0.003       0.003       0.034       0.000       0.014      42.884        0.02       3419.    0.2685  
        2.67      0.5317      0.4875      0.1246      0.1359       0.000       0.003       0.003       0.034       0.000       0.014      41.670        0.02       3432.    0.2583  
        2.87      0.5726      0.5097      0.1215      0.1365       0.000       0.003       0.003       0.034       0.000       0.014      40.457        0.02       3446.    0.2476  
        3.08      0.6135      0.5298      0.1175      0.1361       0.000       0.003       0.003       0.034       0.000       0.013      39.250        0.02       3461.    0.2362  
        3.28      0.6544      0.5477      0.1127      0.1347       0.000       0.003       0.003       0.034       0.000       0.013      38.042        0.02       3477.    0.2242  
