         8x10E                    (8x10E.dat)                                                                                                                                       
         v2025-1001                                                                                                                                                                 
         Simulation Date: 02/24/2026                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLARS                                                                                                                                 
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (True Air Speed in MPH)                                                                                                                                                 
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1552      0.1221       0.000       0.020       0.020       0.240       0.002       0.090      38.270        0.03       8704.    0.3995  
        0.35      0.0465      0.0582      0.1548      0.1236       0.000       0.021       0.020       0.243       0.002       0.090      37.713        0.03       8716.    0.3932  
        0.70      0.0929      0.1145      0.1545      0.1254       0.000       0.021       0.020       0.247       0.002       0.090      37.098        0.03       8731.    0.3864  
        1.06      0.1394      0.1686      0.1542      0.1275       0.000       0.021       0.020       0.251       0.002       0.090      36.422        0.03       8747.    0.3790  
        1.41      0.1859      0.2203      0.1539      0.1299       0.000       0.022       0.020       0.255       0.002       0.089      35.684        0.03       8766.    0.3710  
        1.76      0.2324      0.2692      0.1536      0.1326       0.000       0.022       0.020       0.261       0.002       0.089      34.887        0.03       8787.    0.3624  
        2.11      0.2788      0.3152      0.1533      0.1356       0.000       0.023       0.020       0.267       0.003       0.089      34.033        0.03       8811.    0.3531  
        2.46      0.3253      0.3580      0.1529      0.1389       0.000       0.023       0.020       0.273       0.003       0.089      33.134        0.03       8837.    0.3433  
        2.82      0.3718      0.3976      0.1523      0.1424       0.000       0.024       0.020       0.280       0.003       0.088      32.202        0.03       8867.    0.3330  
        3.17      0.4182      0.4341      0.1516      0.1460       0.000       0.024       0.020       0.287       0.003       0.088      31.253        0.03       8899.    0.3224  
        3.52      0.4647      0.4675      0.1505      0.1496       0.000       0.025       0.020       0.294       0.003       0.087      30.290        0.03       8934.    0.3114  
        3.87      0.5112      0.4979      0.1490      0.1530       0.000       0.025       0.019       0.301       0.003       0.087      29.329        0.03       8972.    0.3000  
        4.22      0.5576      0.5255      0.1470      0.1560       0.000       0.026       0.019       0.307       0.003       0.085      28.373        0.03       9013.    0.2883  
        4.58      0.6041      0.5504      0.1442      0.1583       0.000       0.026       0.019       0.311       0.003       0.084      27.432        0.03       9058.    0.2761  
        4.93      0.6506      0.5730      0.1406      0.1596       0.000       0.027       0.018       0.314       0.003       0.082      26.517        0.03       9105.    0.2634  
        5.28      0.6971      0.5934      0.1359      0.1597       0.000       0.027       0.018       0.314       0.003       0.079      25.631        0.03       9156.    0.2504  
